Product_ID,Product_Name,Category,Units_Sold,Revenue,Order_Date,Delivery_Date,Inventory_Level,Customer_ID,Season,Holiday,Location,Lead_Time,Supplier_Performance,Social_Media_Mentions,External_Events,Quality_Control,Price
TV001,LG OLED TV,Tv,12,17988,1/1/2018,1/5/2018,180,Cust_882,January,1,Ahmedabad,4,0.9482962,57,1,Fail,1499
SP002,iPhone 12,Smartphone,12,11988,1/2/2018,1/5/2018,95,Cust_247,January,0,Delhi,3,0.946373042,41,0,Fail,999
LT002,Dell XPS,Laptop,17,22083,1/2/2018,1/5/2018,120,Cust_448,January,1,Bangalore,3,0.847090794,63,0,Pass,1299
TV003,Sony BRAVIA OLED TV,Tv,14,25186,1/2/2018,1/5/2018,191,Cust_319,January,1,Kolkata,3,0.897118362,86,1,Fail,1799
CAM001,Canon EOS Rebel DSLR Camera,Camera,17,13583,1/2/2018,1/6/2018,55,Cust_641,January,1,Ahmedabad,4,0.956917583,63,1,Fail,799
CAM002,Sony Alpha Mirrorless Camera,Camera,4,3996,1/3/2018,1/4/2018,87,Cust_813,January,0,Bangalore,1,0.98350549,34,0,Pass,999
HP002,Sony WH-1000XM4 Wireless Headphones,Headphones,10,3490,1/3/2018,1/6/2018,113,Cust_195,January,1,Ahmedabad,3,0.802325867,91,1,Pass,349
SP002,iPhone 12,Smartphone,14,13986,1/3/2018,1/4/2018,116,Cust_132,January,1,Kolkata,1,0.857773976,44,0,Fail,999
LT002,Dell XPS,Laptop,1,1299,1/3/2018,1/7/2018,161,Cust_724,January,0,Kolkata,4,0.989969193,67,0,Pass,1299
SP002,iPhone 12,Smartphone,13,12987,1/4/2018,1/5/2018,153,Cust_650,January,0,Kolkata,1,0.885553761,6,1,Fail,999
HP002,Sony WH-1000XM4 Wireless Headphones,Headphones,12,4188,1/4/2018,1/5/2018,151,Cust_103,January,1,Ahmedabad,1,0.898766253,11,1,Fail,349
CAM001,Canon EOS Rebel DSLR Camera,Camera,9,7191,1/4/2018,1/8/2018,144,Cust_311,January,1,Mumbai,4,0.894136462,88,1,Pass,799
CAM001,Canon EOS Rebel DSLR Camera,Camera,9,7191,1/5/2018,1/9/2018,51,Cust_809,January,1,Pune,4,0.810850272,47,0,Pass,799
LT001,Lenovo IdeaPad,Laptop,17,11883,1/5/2018,1/6/2018,117,Cust_430,January,0,Mumbai,1,0.823274221,79,1,Pass,699
TV002,Samsung QLED TV,Tv,4,7996,1/5/2018,1/6/2018,75,Cust_507,January,1,Ahmedabad,1,0.938838546,35,0,Pass,1999
SP001,Samsung Galaxy S21,Smartphone,9,7191,1/5/2018,1/9/2018,95,Cust_529,January,1,Hyderabad,4,0.940110194,92,1,Fail,799
CAM001,Canon EOS Rebel DSLR Camera,Camera,11,8789,1/6/2018,1/9/2018,70,Cust_922,January,1,Ahmedabad,3,0.960474152,65,0,Fail,799
TV003,Sony BRAVIA OLED TV,Tv,14,25186,1/6/2018,1/9/2018,131,Cust_489,January,0,Delhi,3,0.981595896,47,1,Fail,1799
HP003,JBL Quantum Gaming Headset,Headphones,14,1386,1/6/2018,1/9/2018,187,Cust_404,January,1,Mumbai,3,0.834464763,9,1,Fail,99
LT002,Dell XPS,Laptop,9,11691,1/6/2018,1/10/2018,148,Cust_732,January,1,Delhi,4,0.971239733,76,1,Pass,1299
SP002,iPhone 12,Smartphone,5,4995,1/7/2018,1/8/2018,157,Cust_479,January,1,Hyderabad,1,0.911947688,96,1,Fail,999
HP003,JBL Quantum Gaming Headset,Headphones,15,1485,1/7/2018,1/11/2018,137,Cust_500,January,1,Bangalore,4,0.936011701,82,1,Fail,99
CAM002,Sony Alpha Mirrorless Camera,Camera,11,10989,1/7/2018,1/8/2018,190,Cust_779,January,1,Pune,1,0.894607979,8,1,Pass,999
LT002,Dell XPS,Laptop,15,19485,1/7/2018,1/11/2018,93,Cust_285,January,0,Delhi,4,0.973350816,88,0,Fail,1299
TV002,Samsung QLED TV,Tv,9,17991,1/7/2018,1/10/2018,67,Cust_916,January,1,Ahmedabad,3,0.934275433,98,0,Pass,1999
SP002,iPhone 12,Smartphone,2,1998,1/8/2018,1/9/2018,132,Cust_437,January,1,Bangalore,1,0.802148642,51,1,Fail,999
LT002,Dell XPS,Laptop,7,9093,1/8/2018,1/11/2018,193,Cust_142,January,1,Bangalore,3,0.957490236,9,0,Pass,1299
TV002,Samsung QLED TV,Tv,18,35982,1/8/2018,1/10/2018,150,Cust_580,January,1,Chennai,2,0.889840525,83,0,Fail,1999
HP001,boAt Rockerz,Headphones,17,1003,1/9/2018,1/13/2018,85,Cust_599,January,0,Ahmedabad,4,0.809717494,0,0,Pass,59
SP002,iPhone 12,Smartphone,4,3996,1/9/2018,1/12/2018,120,Cust_379,January,0,Delhi,3,0.948234204,52,1,Pass,999
LT002,Dell XPS,Laptop,6,7794,1/10/2018,1/13/2018,73,Cust_876,January,1,Bangalore,3,0.815710409,2,0,Fail,1299
SP001,Samsung Galaxy S21,Smartphone,5,3995,1/10/2018,1/13/2018,141,Cust_758,January,1,Bangalore,3,0.96265365,39,0,Fail,799
SP002,iPhone 12,Smartphone,19,18981,1/11/2018,1/12/2018,113,Cust_240,January,1,Pune,1,0.863024955,38,0,Fail,999
HP002,Sony WH-1000XM4 Wireless Headphones,Headphones,19,6631,1/11/2018,1/15/2018,187,Cust_691,January,0,Ahmedabad,4,0.994034804,7,1,Fail,349
TV003,Sony BRAVIA OLED TV,Tv,14,25186,1/11/2018,1/13/2018,110,Cust_949,January,1,Pune,2,0.843275204,84,1,Fail,1799
CAM002,Sony Alpha Mirrorless Camera,Camera,14,13986,1/11/2018,1/15/2018,110,Cust_67,January,0,Bangalore,4,0.840366369,44,1,Pass,999
CAM002,Sony Alpha Mirrorless Camera,Camera,5,4995,1/12/2018,1/13/2018,90,Cust_339,January,0,Kolkata,1,0.970035261,10,1,Pass,999
TV003,Sony BRAVIA OLED TV,Tv,12,21588,1/12/2018,1/15/2018,163,Cust_505,January,0,Bangalore,3,0.854923544,62,0,Fail,1799
HP002,Sony WH-1000XM4 Wireless Headphones,Headphones,6,2094,1/12/2018,1/14/2018,80,Cust_505,January,0,Bangalore,2,0.873100247,28,0,Pass,349
HP003,JBL Quantum Gaming Headset,Headphones,5,495,1/13/2018,1/15/2018,114,Cust_503,January,0,Pune,2,0.800267961,12,0,Fail,99
TV001,LG OLED TV,Tv,13,19487,1/13/2018,1/15/2018,178,Cust_621,January,0,Bangalore,2,0.888175423,84,0,Pass,1499
LT002,Dell XPS,Laptop,9,11691,1/13/2018,1/14/2018,90,Cust_712,January,1,Mumbai,1,0.993795515,38,0,Pass,1299
HP002,Sony WH-1000XM4 Wireless Headphones,Headphones,10,3490,1/14/2018,1/16/2018,132,Cust_763,January,1,Delhi,2,0.834271209,73,1,Pass,349
SP001,Samsung Galaxy S21,Smartphone,8,6392,1/14/2018,1/17/2018,136,Cust_958,January,1,Kolkata,3,0.976254826,50,0,Fail,799
TV002,Samsung QLED TV,Tv,17,33983,1/15/2018,1/17/2018,67,Cust_45,January,1,Delhi,2,0.897501713,42,1,Pass,1999
CAM003,Nikon DSLR Camera,Camera,6,4194,1/15/2018,1/16/2018,141,Cust_196,January,0,Kolkata,1,0.860163477,1,1,Pass,699
LT001,Lenovo IdeaPad,Laptop,1,699,1/15/2018,1/18/2018,136,Cust_299,January,0,Mumbai,3,0.925966823,63,1,Fail,699
HP003,JBL Quantum Gaming Headset,Headphones,1,99,1/15/2018,1/17/2018,148,Cust_783,January,1,Mumbai,2,0.89954155,35,0,Pass,99
SP003,OnePlus 9 Pro,Smartphone,13,11687,1/15/2018,1/18/2018,167,Cust_153,January,1,Pune,3,0.950541011,29,0,Pass,899
HP001,boAt Rockerz,Headphones,7,413,1/16/2018,1/20/2018,82,Cust_867,January,0,Pune,4,0.889316057,33,0,Pass,59
CAM002,Sony Alpha Mirrorless Camera,Camera,3,2997,1/16/2018,1/18/2018,120,Cust_782,January,0,Bangalore,2,0.823093221,19,1,Pass,999
TV003,Sony BRAVIA OLED TV,Tv,1,1799,1/16/2018,1/20/2018,50,Cust_708,January,0,Kolkata,4,0.956826661,89,0,Fail,1799
LT002,Dell XPS,Laptop,13,16887,1/16/2018,1/18/2018,56,Cust_294,January,0,Mumbai,2,0.818859324,8,0,Pass,1299
TV001,LG OLED TV,Tv,15,22485,1/17/2018,1/18/2018,84,Cust_100,January,1,Pune,1,0.849730324,5,0,Fail,1499
SP002,iPhone 12,Smartphone,5,4995,1/17/2018,1/20/2018,178,Cust_503,January,0,Chennai,3,0.825498925,44,1,Fail,999
HP003,JBL Quantum Gaming Headset,Headphones,1,99,1/17/2018,1/20/2018,165,Cust_125,January,0,Pune,3,0.836678143,38,1,Pass,99
CAM002,Sony Alpha Mirrorless Camera,Camera,6,5994,1/17/2018,1/18/2018,89,Cust_513,January,1,Bangalore,1,0.859444835,17,1,Pass,999
LT001,Lenovo IdeaPad,Laptop,4,2796,1/17/2018,1/20/2018,81,Cust_570,January,1,Mumbai,3,0.804354273,36,0,Pass,699
